preoutcome_rank,cluster,cluster_label,model,observable,tracer,shape_y,shape_x,valid_fraction,group_count,tracer_base_fraction,top_observable_in_top_tracer_fraction,observed_enrichment,residual_null_ratio,status,matched_null_n,matched_null_mean,matched_null_p05,matched_null_p95,matched_empirical_p_ge_observed,matched_z_vs_null
1,rxj1347,RX J1347.5-1145,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.8301454810233995,8.301452924227682,1.2272854753331899,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,6.764076566598297,6.761433497227708,6.7667775693686485,0.0033222591362126247,913.1996924873258
1,rxj1347,RX J1347.5-1145,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.4764699467580576,4.764698385089196,1.569924817770986,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,3.0349850713578888,3.032102657529845,3.0381530059708455,0.0033222591362126247,906.6054868799092
1,rxj1347,RX J1347.5-1145,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.24636865416137976,2.4636859818892103,0.8220035676304478,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.9971718845347173,2.9942687396371506,2.999936273260105,1.0,-310.4167975020762
1,rxj1347,RX J1347.5-1145,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.19441147036137954,1.9441142619306584,1.0664435077404435,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,1.8229885107086488,1.8191769095188406,1.8270558518866942,0.0033222591362126247,51.685188493591326
1,rxj1347,RX J1347.5-1145,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.8235921896671782,8.235920025553883,1.2060267645520077,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,6.828969528394511,6.826427672081157,6.831480089312502,0.0033222591362126247,884.8091280376609
1,rxj1347,RX J1347.5-1145,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.5009292065053543,5.0092909269932075,1.6190769757552699,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,3.0939177086725382,3.0907352339121896,3.0971513579360113,0.0033222591362126247,1010.8555504456078
1,rxj1347,RX J1347.5-1145,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.3677610963721777,3.6776101282058766,1.0145407065938143,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,3.62490149907633,3.622207370327715,3.627699680695617,0.0033222591362126247,31.273892462725122
1,rxj1347,RX J1347.5-1145,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.263038560344147,2.6303850058445475,1.2891770208256295,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.040359829063635,2.0368014329303437,2.0439198533895904,0.0033222591362126247,274.6794332937171
2,macs2129,MACS J2129.4-0741,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.7435787627467708,7.435785938132198,1.2762502868618124,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,5.826275625305553,5.823292112015177,5.829548919189649,0.0033222591362126247,863.2505341439052
2,macs2129,MACS J2129.4-0741,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.362809702369931,3.6280961994324743,1.5596825463021677,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.3261760593745717,2.3230549258610314,2.329008434648506,0.0033222591362126247,682.5753967078213
2,macs2129,MACS J2129.4-0741,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.4242458148788908,4.242457184945458,1.1196331410030704,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,3.7891493468518394,3.7851295072751037,3.7923865175572593,0.0033222591362126247,203.99083574939704
2,macs2129,MACS J2129.4-0741,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.18739073587929858,1.8739069330602454,1.0429768410087505,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,1.796690836632415,1.7929177441142148,1.8006052790730456,0.0033222591362126247,33.89576122396807
2,macs2129,MACS J2129.4-0741,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.6595582747656821,6.595581249207335,1.2314154554636967,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,5.356097505470832,5.352665879226533,5.359095350651281,0.0033222591362126247,625.1089905154341
2,macs2129,MACS J2129.4-0741,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.35931325050748536,3.593131688751602,1.6358906442462913,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.1964375805860032,2.1933406238539983,2.2001466623772097,0.0033222591362126247,687.427642698653
2,macs2129,MACS J2129.4-0741,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.4658749478883271,4.658748420462654,1.165771533676056,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,3.996279104338831,3.9926219543500925,3.9998690250783673,0.0033222591362126247,309.09137914530777
2,macs2129,MACS J2129.4-0741,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.22207297110940213,2.220729206566761,1.1880561690638995,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,1.8692123019036477,1.8654478047329943,1.8730901857184796,0.0033222591362126247,153.56987876704937
3,macs1206,MACS J1206.2-0847,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.7507728710476798,7.507727004797003,1.1918273705363207,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,6.29934098712512,6.296448218871578,6.302432110896502,0.0033222591362126247,663.6662244650839
3,macs1206,MACS J1206.2-0847,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.4052928390366474,4.052927469582262,1.5057537088169406,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.691627087385106,2.688458094352976,2.6952081835533206,0.0033222591362126247,684.2879384463347
3,macs1206,MACS J1206.2-0847,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.36564616770473496,3.6564608463363526,0.9948358643883003,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,3.6754413237651207,3.672447908785831,3.678440891801575,1.0,-9.942327302576084
3,macs1206,MACS J1206.2-0847,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.15735566912523954,1.5735563337562795,0.833344571382879,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,1.8882421363171167,1.8846027449979783,1.8921735611955202,1.0,-130.05884706964838
3,macs1206,MACS J1206.2-0847,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.761604573786153,7.616044007573206,1.216934356352969,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,6.258385234843504,6.25528358285557,6.261693175172557,0.0033222591362126247,726.9904460421686
3,macs1206,MACS J1206.2-0847,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.4149281909667042,4.149280966992288,1.5421362328138362,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.6906059780602933,2.687197297986096,2.693892297493094,0.0033222591362126247,707.046069856659
3,macs1206,MACS J1206.2-0847,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.46610213774293696,4.6610203184926,1.1086247419287212,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,4.204326443575151,4.201424718613852,4.207604281255307,0.0033222591362126247,247.882320934758
3,macs1206,MACS J1206.2-0847,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.21332048196055756,2.1332043349630827,1.0452202617681934,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.0409136839295026,2.0375205095593603,2.0447712721219333,0.0033222591362126247,42.688578507550304
4,clj1226,CL J1226.9+3332,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,0.9820568027210884,32,0.10000004618009244,0.699394290642359,6.993939676615783,1.189814213416627,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,5.878177952280669,5.8747655929523175,5.881519713857921,0.0033222591362126247,559.6093807446836
4,clj1226,CL J1226.9+3332,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9820568027210884,32,0.10000004618009244,0.2894751577193741,2.894750240395404,1.4477966821576247,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,1.9994176503301633,1.9968340112367964,2.002241406440697,0.0033222591362126247,507.5887817648567
4,clj1226,CL J1226.9+3332,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,0.9820568027210884,32,0.10000004618009244,0.41347961640523934,4.1347942546005845,1.0410482201049212,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,3.971760553208441,3.968540302887173,3.9749772245758517,0.0033222591362126247,85.69228293505212
4,clj1226,CL J1226.9+3332,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9820568027210884,32,0.10000004618009244,0.12663152748089443,1.26631469002365,0.8337825779184964,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,1.518758874987472,1.5157152441149242,1.5218291940804554,1.0,-135.4969387742126
4,clj1226,CL J1226.9+3332,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,0.9820568027210884,32,0.10000004618009244,0.6795772676290979,6.795769537998324,1.2008409706792322,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,5.65917528126512,5.655939406693677,5.662308790059552,0.0033222591362126247,588.9117525144635
4,clj1226,CL J1226.9+3332,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9820568027210884,32,0.10000004618009244,0.297277280732693,2.9727714344983336,1.5111207729458203,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,1.967262635602005,1.964652289046516,1.9701624348611766,0.0033222591362126247,585.2084166280935
4,clj1226,CL J1226.9+3332,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,0.9820568027210884,32,0.10000004618009244,0.4425104626663203,4.42510258314674,1.065271544725103,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,4.153966756230828,4.1506601896085655,4.157521675169107,0.0033222591362126247,130.93424187641492
4,clj1226,CL J1226.9+3332,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9820568027210884,32,0.10000004618009244,0.13496060264958004,1.3496054032467777,0.8749932884459274,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,1.5424180060212889,1.5398010033526235,1.5455772583697918,1.0,-107.06102742547337
5,ms2137,MS 2137.3-2353,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.7773238398266087,7.773236632265185,1.125961343707037,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,6.903644317551009,6.9012691049581525,6.906013680006441,0.0033222591362126247,589.5929609335768
5,ms2137,MS 2137.3-2353,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.4505941582672684,4.5059405589684705,1.4281711642982537,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,3.1550423868013815,3.151937894940911,3.1582177050829356,0.0033222591362126247,706.2066366731242
5,ms2137,MS 2137.3-2353,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.8173240215784924,8.173238358907668,1.1205436437972325,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,7.2939937718183625,7.291792189032444,7.296260160495588,0.0033222591362126247,643.8478835110723
5,ms2137,MS 2137.3-2353,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.41913574707407864,4.1913565185068915,1.2692622251780543,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,3.3021990534059427,3.29943178694305,3.305052746656391,0.0033222591362126247,509.7008345462578
5,ms2137,MS 2137.3-2353,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.8308299865446885,8.308297977885447,1.1235835122122941,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,7.394464129797274,7.39219338793855,7.396776087649348,0.0033222591362126247,653.9764084989929
5,ms2137,MS 2137.3-2353,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.44675269205625445,4.467525905585753,1.3303044743388561,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,3.358273231251105,3.355512819915113,3.36096735999972,0.0033222591362126247,696.0539198449804
5,ms2137,MS 2137.3-2353,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.833630005418478,8.336298160261983,1.1212378956586828,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,7.434905823767879,7.432558706980659,7.437219505789093,0.0033222591362126247,635.1945079633743
5,ms2137,MS 2137.3-2353,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.4147793816119347,4.147792873782673,1.2361626608181304,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,3.355377900702434,3.3525652341439103,3.358109233311486,0.0033222591362126247,456.7143729829453
6,macs1423,MACS J1423.8+2404,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.8500501521604051,8.500499590376347,1.2101254881163868,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,7.024477770158983,7.0218057908859635,7.027043367806751,0.0033222591362126247,902.5249317666245
6,macs1423,MACS J1423.8+2404,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.398573929282614,3.9857383873066095,1.3545452543843732,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.9424918616824556,2.9396105648709434,2.945477741533279,0.0033222591362126247,585.9307780756609
6,macs1423,MACS J1423.8+2404,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.6105255923691472,6.105254536639266,1.104633148730371,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,5.526952132168443,5.523454677678725,5.530249356711788,0.0033222591362126247,281.1296083011934
6,macs1423,MACS J1423.8+2404,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.2337766564696287,2.337766033579441,0.9595863993940541,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.4362225590688444,2.4327208637028046,2.4399278922283014,1.0,-45.908022997118856
6,macs1423,MACS J1423.8+2404,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.7868555901767651,7.868554114111579,1.2453286762103792,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,6.318455733353969,6.315609007257479,6.321431313933724,0.0033222591362126247,846.7668182437169
6,macs1423,MACS J1423.8+2404,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.4189113970926514,4.18911301920232,1.5535279238882322,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.696516074662912,2.6935875791698276,2.6993919946490865,0.0033222591362126247,790.8459063670576
6,macs1423,MACS J1423.8+2404,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.7027220752430079,7.027219155916818,1.2181157754536442,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,5.768925497496146,5.7657971885713275,5.772250514925391,0.0033222591362126247,643.1462568781499
6,macs1423,MACS J1423.8+2404,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.30757303301863753,3.0757296314116487,1.2224665148297444,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.516003173992878,2.5124201825423333,2.5195465586877672,0.0033222591362126247,255.43357539497015
7,abell2261,Abell 2261,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.7970882212283928,7.970880401380358,1.1466907441088483,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,6.951203227488274,6.948818794775912,6.953860988466124,0.0033222591362126247,643.067421681203
7,abell2261,Abell 2261,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.3578228850612447,3.5782280376751547,1.3928282573708062,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.569037509642181,2.5659429762680745,2.5723292816302537,0.0033222591362126247,516.5957047973978
7,abell2261,Abell 2261,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.7911608379216217,7.9116065817790595,1.1400935878701035,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,6.939436083102037,6.936893602016724,6.941861391046455,0.0033222591362126247,630.2733234958746
7,abell2261,Abell 2261,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.288294269931082,2.882942044335487,1.1448563672896817,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.5181692015746284,2.515137940560656,2.521523677948328,0.0033222591362126247,188.99507796545913
7,abell2261,Abell 2261,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.8530240673572481,8.530238735588343,1.161649738109489,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,7.343210656140434,7.340636008765513,7.345450160690969,0.0033222591362126247,798.8533975258963
7,abell2261,Abell 2261,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.3608388303811905,3.608387484022691,1.352297212836236,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.668339067603823,2.665399572337777,2.6712866281078753,0.0033222591362126247,507.7411725357191
7,abell2261,Abell 2261,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,0.9980961451247166,32,0.10000002271899062,0.8252387481384631,8.25238560652592,1.1447034018034574,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,7.209191126299135,7.206817238980127,7.211869940198727,0.0033222591362126247,692.8370675359444
7,abell2261,Abell 2261,zitrin_nfw,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9980961451247166,32,0.10000002271899062,0.3014871847882761,3.014871162934464,1.1571082212230555,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.6055222040923414,2.602310951956947,2.608725372057246,0.0033222591362126247,214.29243988158927
8,macs1311,MACS J1311.0-0310,zitrin_ltm_gauss,kappa,chandra_xray_sigma1,4200,4200,0.9976834467120181,32,0.10000002272838848,0.8415593934934358,8.41559202220591,1.1652928533224316,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,7.221868733007111,7.219308098558432,7.224338169890269,0.0033222591362126247,801.5008431279664
8,macs1311,MACS J1311.0-0310,zitrin_ltm_gauss,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9976834467120181,32,0.10000002272838848,0.32268547060511443,3.226853972639238,1.2795356526372947,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.521894537278628,2.519289847681996,2.5240568381861976,0.0033222591362126247,492.33808027882793
8,macs1311,MACS J1311.0-0310,zitrin_ltm_gauss,magnif,chandra_xray_sigma1,4200,4200,0.9976834467120181,32,0.10000002272838848,0.7609178630319436,7.60917690087615,1.0988162414025313,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,6.924885721714289,6.922107404768875,6.92757784128556,0.0033222591362126247,412.3624133119559
8,macs1311,MACS J1311.0-0310,zitrin_ltm_gauss,magnif,chandra_xray_radius_exposure_residual_z,4200,4200,0.9976834467120181,32,0.10000002272838848,0.2638180047434136,2.6381794478184624,1.0953675679078019,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.4084878219075776,2.4059374705950365,2.411077493314323,0.0033222591362126247,143.02292546767237
8,macs1311,MACS J1311.0-0310,zitrin_nfw,kappa,chandra_xray_sigma1,4200,4200,0.9976834467120181,32,0.10000002272838848,0.7925000880724854,7.924999079500276,1.1677510511569615,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,6.786548444249741,6.78388875049797,6.789355777757932,0.0033222591362126247,655.8622679312824
8,macs1311,MACS J1311.0-0310,zitrin_nfw,kappa,chandra_xray_radius_exposure_residual_z,4200,4200,0.9976834467120181,32,0.10000002272838848,0.3324946559888722,3.3249458041821227,1.3701477446271186,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,2.4267060375207903,2.423564464271546,2.429306789011886,0.0033222591362126247,553.4613937396941
8,macs1311,MACS J1311.0-0310,zitrin_nfw,magnif,chandra_xray_sigma1,4200,4200,0.9976834467120181,32,0.10000002272838848,0.7680599528613866,7.680597782937764,1.1558266291551633,EXTERNAL_CLASH_BLIND_PREFILTER_V1,300,6.645112328439603,6.642419776300952,6.64795157315221,0.0033222591362126247,595.1749178935406
