cluster,tracer,model_count,median_corr_length_px,max_corr_length_px,min_block24_over_corr_length,min_block12_over_corr_length
abell2744,chandra_xray_radius_exposure_residual_z,4,49.84729275513605,164.48173338729035,0.1763113714987202,0.34654304053196733
abell2744,chandra_xray_sigma1,4,242.34035189839432,320.0,0.090625,0.178125
abell370,chandra_xray_radius_exposure_residual_z,4,53.527836873578735,175.70216606908232,0.3740102128434536,0.7310199614667502
abell370,chandra_xray_sigma1,4,172.87533660886817,320.0,0.14716704635407113,0.28973512250957756
abells1063,chandra_xray_radius_exposure_residual_z,4,54.96998099956482,104.10397207736614,0.4598358685573816,0.9061471527454285
abells1063,chandra_xray_sigma1,4,168.04300607584486,320.0,0.16400515665668003,0.3231866322352224
macs0416,chandra_xray_radius_exposure_residual_z,4,63.38033682550034,139.66960409522216,0.19331335672428973,0.38662671344857946
macs0416,chandra_xray_sigma1,4,143.40954630283778,227.26791906504172,0.16647409600804708,0.33294819201609416
macs0717,chandra_xray_radius_exposure_residual_z,3,99.7129756056407,208.25390451329486,0.17766773730591895,0.3553354746118379
macs0717,chandra_xray_sigma1,3,134.60857609060275,222.40497291884853,0.16343683767364253,0.3194447281803013
macs1149,chandra_xray_radius_exposure_residual_z,4,35.37436596526726,136.05914761989914,0.22049234119714853,0.43363493768772543
macs1149,chandra_xray_sigma1,4,161.78595009335965,217.72928805858,0.14581318124867726,0.2867659231223986
