target_blocks_per_axis,n_boot,median_log_ratio_se,max_log_ratio_se,min_block_ratio_p05,population_ratio,population_ratio_ci95_low,population_ratio_ci95_high,sigma_cluster,sigma_channel,sigma_residual
4,300,0.3754414833547196,1.0339575263444614,0.12242176959972548,1.6105797117082437,1.4628575602259286,1.7732191282968033,0.0271665986417519,0.1492370124688833,7.636392864472041e-09
6,300,0.32426867824186334,0.8231042903352191,0.23628987803223697,1.6121200180475044,1.432585902979748,1.8141536554169384,0.0839108960884519,0.1741469782226446,4.977445297793352e-09
8,300,0.2661970387223012,1.1800722760142985,0.15657674036436836,1.6291808647555135,1.4366602625691878,1.847500316699056,0.0833618939705324,0.2207095841908538,9.924754936548326e-09
12,300,0.2055597423537457,0.8419123282955686,0.2314451433642033,1.629161998435038,1.4299164254059824,1.8561705915024191,0.0996226930837932,0.2244727188965816,0.0588198098822433
16,300,0.16113752189580088,0.7772684080117674,0.27796261056586596,1.627037701158202,1.4259387153149417,1.8564975146252891,0.0990101156595915,0.2341905425088352,0.1150399121862061
24,300,0.11715780188373395,0.4537567831766819,0.5136695382409904,1.6328341494816598,1.4301125840896105,1.864291937134955,0.0913084860834829,0.2482824625013072,0.1602932635363843
32,300,0.09439670423860017,0.3470640698175884,0.5789916353687273,1.629655828274242,1.4245083941988377,1.8643471175344324,0.0931289619978196,0.2507561093076048,0.1809611926647279
