cluster,cluster_label,median_residual_null_ratio,min_residual_null_ratio,max_residual_null_ratio,positive_rows,tested_rows
macs0744,MACS J0744.9+3927,1.1127542209683865,0.4530192210606509,1.5435212983314066,5,8
macs0329,MACS J0329.7-0211,1.1133962277275802,0.7135897511690046,1.4618361686277577,6,8
clj1226,CL J1226.9+3332,1.127542879070865,0.8337825779184964,1.5111207729458205,6,8
macs1206,MACS J1206.2-0847,1.1502260562325208,0.833344571382879,1.5421362328138362,6,8
abell2261,Abell 2261,1.1518994826659519,1.1400935878701035,1.3928282573708062,8,8
macs1311,MACS J1311.0-0310,1.1665219522396966,1.095367567907802,1.3701477446271186,8,8
ms2137,MS 2137.3-2353,1.1810620022625837,1.1205436437972325,1.4281711642982535,8,8
macs2129,MACS J2129.4-0741,1.2097358122637982,1.0429768410087503,1.6358906442462913,8,8
rxj1347,RX J1347.5-1145,1.216656119942599,0.8220035676304478,1.61907697575527,7,8
macs1423,MACS J1423.8+2404,1.2202911451416942,0.959586399394054,1.5535279238882322,7,8
macs1931,MACS J1931.8-2635,1.3087526118312298,1.256162621317274,1.757458392967873,8,8
rxj1532,RX J1532.9+3021,1.3968074235132204,1.201592254298748,1.7467313937122986,8,8
