model,observable,tracer,cluster_count,row_count,positive_rows,above_null_p95_rows,median_residual_null_ratio,min_residual_null_ratio,max_empirical_p_ge_observed,channel_flag
williams_v4.1,magnif,chandra_xray_sigma1,3,3,1,1,0.7973760056132302,0.7441254680211087,1.0,MODEL_CHANNEL_SENSITIVE
cats_v4,magnif,chandra_xray_sigma1,1,1,1,1,1.302646048383497,1.302646048383497,0.0009990009990009,ALL_POSITIVE
cats_v4,kappa,chandra_xray_sigma1,1,1,1,1,1.3078526324434627,1.3078526324434627,0.0009990009990009,ALL_POSITIVE
cats_v4,magnif,chandra_xray_radius_exposure_residual_z,1,1,1,1,1.3804429198796084,1.3804429198796084,0.0009990009990009,ALL_POSITIVE
cats_v4,kappa,chandra_xray_radius_exposure_residual_z,1,1,1,1,1.403637117424507,1.403637117424507,0.0009990009990009,ALL_POSITIVE
williams_v4.1,magnif,chandra_xray_radius_exposure_residual_z,3,3,2,2,1.218881479378651,0.8728661889902655,1.0,MODEL_CHANNEL_SENSITIVE
williams_v4.1,kappa,chandra_xray_sigma1,3,3,3,3,1.3807119944995963,1.283592880487944,0.0009990009990009,ALL_POSITIVE
williams_v4,magnif,chandra_xray_sigma1,3,3,3,3,2.1295570992470543,1.0866982549895312,0.0009990009990009,ALL_POSITIVE
williams_v4,kappa,chandra_xray_radius_exposure_residual_z,3,3,3,3,2.2382897100384023,1.4397184752869192,0.0009990009990009,ALL_POSITIVE
williams_v4,kappa,chandra_xray_sigma1,3,3,3,3,2.2483028528569733,1.1766684643821619,0.0009990009990009,ALL_POSITIVE
williams_v4.1,kappa,chandra_xray_radius_exposure_residual_z,3,3,3,3,2.6989581216880882,2.0239544495609825,0.0009990009990009,ALL_POSITIVE
williams_v4,magnif,chandra_xray_radius_exposure_residual_z,3,3,3,3,2.8079340180997274,2.515749511559718,0.0009990009990009,ALL_POSITIVE
cats_v4.1,kappa,chandra_xray_sigma1,5,5,5,5,1.2794907183005164,1.195118258910453,0.0009990009990009,ALL_POSITIVE
cats_v4.1,magnif,chandra_xray_sigma1,5,5,5,5,1.280851431906912,1.1904133596792894,0.0009990009990009,ALL_POSITIVE
diego_v4.1,magnif,chandra_xray_sigma1,6,6,5,5,1.3095270503581826,0.8937138660745525,1.0,MODEL_CHANNEL_SENSITIVE
merten_v1,kappa,chandra_xray_sigma1,5,5,5,5,1.4365217677232673,1.2592859898211866,0.0009990009990009,ALL_POSITIVE
merten_v1,magnif,chandra_xray_sigma1,5,5,5,5,1.453444360333081,1.2667762256915913,0.0009990009990009,ALL_POSITIVE
cats_v4.1,kappa,chandra_xray_radius_exposure_residual_z,5,5,5,5,1.602312895976148,1.3400263538382833,0.0009990009990009,ALL_POSITIVE
merten_v1,magnif,chandra_xray_radius_exposure_residual_z,5,5,5,5,1.6829343830896257,1.515673441267654,0.0009990009990009,ALL_POSITIVE
merten_v1,kappa,chandra_xray_radius_exposure_residual_z,5,5,5,5,1.6861625132037086,1.505714273208353,0.0009990009990009,ALL_POSITIVE
cats_v4.1,magnif,chandra_xray_radius_exposure_residual_z,5,5,5,5,1.700509060824802,1.3359227478667404,0.0009990009990009,ALL_POSITIVE
diego_v4.1,kappa,chandra_xray_sigma1,6,6,6,6,1.2951274157132606,1.085229563297202,0.0009990009990009,ALL_POSITIVE
diego_v4.1,magnif,chandra_xray_radius_exposure_residual_z,6,6,6,6,2.145872020958717,1.5850087119817675,0.0009990009990009,ALL_POSITIVE
diego_v4.1,kappa,chandra_xray_radius_exposure_residual_z,6,6,6,6,2.3048670590545672,1.675075084416025,0.0009990009990009,ALL_POSITIVE
