cluster,cluster_label,row_count,positive_rows,above_null_p95_rows,median_residual_null_ratio,min_residual_null_ratio,max_residual_null_ratio,max_empirical_p_ge_observed,cluster_level_flag
abell2744,Abell 2744,16,16,16,1.6845484481466673,1.186700896983039,3.331941697829754,0.0009990009990009,ALL_ROWS_ABOVE_NULL
abell370,Abell 370,16,15,15,1.3920400186520578,0.7441254680211087,3.050882189393435,1.0,HAS_CHANNEL_FALSIFIER
abells1063,Abell S1063,16,16,16,1.3510777884632217,1.218881479378651,2.0239544495609825,0.0009990009990009,ALL_ROWS_ABOVE_NULL
macs0416,MACS0416,16,16,16,1.8972739033932098,1.4365217677232673,5.131154904557748,0.0009990009990009,ALL_ROWS_ABOVE_NULL
macs0717,MACS0717,12,9,9,1.3083870898868262,0.7973760056132302,3.747010765895282,1.0,HAS_CHANNEL_FALSIFIER
macs1149,MACS J1149.5+2223,16,16,16,1.6108976888382633,1.0866982549895312,2.515749511559718,0.0009990009990009,ALL_ROWS_ABOVE_NULL
